Time,clk,rst,X,Y,valid,quot,rem
                   1,1,0,15, 8,0, 0, 0
                   2,1,0,15, 8,0, 0, 0
                   3,1,0,15, 8,0, 0, 0
                   4,1,0,15, 8,0, 0, 0
                   5,0,0,15, 8,0, 0, 0
                   6,0,0,15, 8,0, 0, 0
                   7,0,0,15, 8,0, 0, 0
                   8,0,0,15, 8,0, 0, 0
                   9,0,0,15, 8,0, 0, 0
                  10,1,1,15, 8,0, 0, 0
                  11,1,1,15, 8,0, 0, 0
                  12,1,1,15, 8,0, 0, 0
                  13,1,1,15, 8,0, 0, 0
                  14,1,1,15, 8,0, 0, 0
                  15,0,1,15, 8,0, 0, 0
                  16,0,1,15, 8,0, 0, 0
                  17,0,1,15, 8,0, 0, 0
                  18,0,1,15, 8,0, 0, 0
                  19,0,1,15, 8,0, 0, 0
                  20,1,1,15, 8,0, 0, 0
                  21,1,1,15, 8,0,15, 0
                  22,1,1,15, 8,0,15, 0
                  23,1,1,15, 8,0,15, 0
                  24,1,1,15, 8,0,15, 0
                  25,0,1,15, 8,0,15, 0
                  26,0,1,15, 8,0,15, 0
                  27,0,1,15, 8,0,15, 0
                  28,0,1,15, 8,0,15, 0
                  29,0,1,15, 8,0,15, 0
                  30,1,1,15, 8,0,15, 0
                  31,1,1,15, 8,0,14, 1
                  32,1,1,15, 8,0,14, 1
                  33,1,1,15, 8,0,14, 1
                  34,1,1,15, 8,0,14, 1
                  35,0,1,15, 8,0,14, 1
                  36,0,1,15, 8,0,14, 1
                  37,0,1,15, 8,0,14, 1
                  38,0,1,15, 8,0,14, 1
                  39,0,1,15, 8,0,14, 1
                  40,1,1,15, 8,0,14, 1
                  41,1,1,15, 8,0,12, 3
                  42,1,1,15, 8,0,12, 3
                  43,1,1,15, 8,0,12, 3
                  44,1,1,15, 8,0,12, 3
                  45,0,1,15, 8,0,12, 3
                  46,0,1,15, 8,0,12, 3
                  47,0,1,15, 8,0,12, 3
                  48,0,1,15, 8,0,12, 3
                  49,0,1,15, 8,0,12, 3
                  50,1,1,15, 8,0,12, 3
                  51,1,1,15, 8,0, 8, 7
                  52,1,1,15, 8,0, 8, 7
                  53,1,1,15, 8,0, 8, 7
                  54,1,1,15, 8,0, 8, 7
                  55,0,1,15, 8,0, 8, 7
                  56,0,1,15, 8,0, 8, 7
                  57,0,1,15, 8,0, 8, 7
                  58,0,1,15, 8,0, 8, 7
                  59,0,1,15, 8,0, 8, 7
                  60,1,1,15, 8,0, 8, 7
                  61,1,1,15, 8,1, 1, 7
                  62,1,1,15, 8,1, 1, 7
                  63,1,1,15, 8,1, 1, 7
                  64,1,1,15, 8,1, 1, 7
                  65,0,1,15, 8,1, 1, 7
                  66,0,1,15, 8,1, 1, 7
                  67,0,1,15, 8,1, 1, 7
                  68,0,1,15, 8,1, 1, 7
                  69,0,1,15, 8,1, 1, 7
                  70,1,1,10, 2,1, 1, 7
                  71,1,1,10, 2,0,10, 0
                  72,1,1,10, 2,0,10, 0
                  73,1,1,10, 2,0,10, 0
                  74,1,1,10, 2,0,10, 0
                  75,0,1,10, 2,0,10, 0
                  76,0,1,10, 2,0,10, 0
                  77,0,1,10, 2,0,10, 0
                  78,0,1,10, 2,0,10, 0
                  79,0,1,10, 2,0,10, 0
                  80,1,1,10, 2,0,10, 0
                  81,1,1,10, 2,0, 4, 1
                  82,1,1,10, 2,0, 4, 1
                  83,1,1,10, 2,0, 4, 1
                  84,1,1,10, 2,0, 4, 1
                  85,0,1,10, 2,0, 4, 1
                  86,0,1,10, 2,0, 4, 1
                  87,0,1,10, 2,0, 4, 1
                  88,0,1,10, 2,0, 4, 1
                  89,0,1,10, 2,0, 4, 1
                  90,1,1,10, 2,0, 4, 1
                  91,1,1,10, 2,0, 9, 0
                  92,1,1,10, 2,0, 9, 0
                  93,1,1,10, 2,0, 9, 0
                  94,1,1,10, 2,0, 9, 0
                  95,0,1,10, 2,0, 9, 0
                  96,0,1,10, 2,0, 9, 0
                  97,0,1,10, 2,0, 9, 0
                  98,0,1,10, 2,0, 9, 0
                  99,0,1,10, 2,0, 9, 0
                 100,1,1,10, 2,0, 9, 0
                 101,1,1,10, 2,0, 2, 1
                 102,1,1,10, 2,0, 2, 1
                 103,1,1,10, 2,0, 2, 1
                 104,1,1,10, 2,0, 2, 1
                 105,0,1,10, 2,0, 2, 1
                 106,0,1,10, 2,0, 2, 1
                 107,0,1,10, 2,0, 2, 1
                 108,0,1,10, 2,0, 2, 1
                 109,0,1,10, 2,0, 2, 1
                 110,1,1,10, 2,0, 2, 1
                 111,1,1,10, 2,1, 5, 0
                 112,1,1,10, 2,1, 5, 0
                 113,1,1,10, 2,1, 5, 0
                 114,1,1,10, 2,1, 5, 0
                 115,0,1,10, 2,1, 5, 0
                 116,0,1,10, 2,1, 5, 0
                 117,0,1,10, 2,1, 5, 0
                 118,0,1,10, 2,1, 5, 0
                 119,0,1,10, 2,1, 5, 0
                 120,1,1,10, 2,1, 5, 0
                 121,1,1,10, 2,0, 0, 0
                 122,1,1,10, 2,0, 0, 0
                 123,1,1,10, 2,0, 0, 0
                 124,1,1,10, 2,0, 0, 0
                 125,0,1,10, 2,0, 0, 0
                 126,0,1,10, 2,0, 0, 0
                 127,0,1,10, 2,0, 0, 0
                 128,0,1,10, 2,0, 0, 0
                 129,0,1,10, 2,0, 0, 0
                 130,1,1,10, 2,0, 0, 0
                 131,1,1,10, 2,0, 0, 0
                 132,1,1,10, 2,0, 0, 0
                 133,1,1,10, 2,0, 0, 0
                 134,1,1,10, 2,0, 0, 0
                 135,0,1,10, 2,0, 0, 0
                 136,0,1,10, 2,0, 0, 0
                 137,0,1,10, 2,0, 0, 0
                 138,0,1,10, 2,0, 0, 0
                 139,0,1,10, 2,0, 0, 0
                 140,1,1,10, 2,0, 0, 0
                 141,1,1,10, 2,0, 0, 0
                 142,1,1,10, 2,0, 0, 0
                 143,1,1,10, 2,0, 0, 0
                 144,1,1,10, 2,0, 0, 0
                 145,0,1,10, 2,0, 0, 0
                 146,0,1,10, 2,0, 0, 0
